sp,Actinopterygii,Taxonomy,Tree
Schilbe_mandibularis,TRUE,,
Scolopsis_bilineatus,TRUE,Scolopsis_bilineata,TRUE
Scolopsis_lineata,TRUE,,
Scopelogadus_mizolepis,TRUE,,
Scyliorhinus_canicula,FALSE,,
Scyliorhinus_stellaris,FALSE,,
Sebastes_goodei,TRUE,,
Sebastes_levis,TRUE,,
Sebastes_rosaceus,TRUE,,
Siphamia_tubifer,TRUE,,
Spectrunculus_grandis,FALSE,,
Sphyrna_lewini,FALSE,,
Squalus_acanthias,FALSE,,
Squalus_blainville,FALSE,,
Stomias_danae,TRUE,,
Strangomera_bentincki,TRUE,,
Symphodus_ocellatus,TRUE,,
Synbranchus_marmoratus,TRUE,,
Synodontis_bastiani,TRUE,,
Synodontis_schall,TRUE,,
Taeniamia_lineolata,TRUE,,
Torpedo_torpedo,FALSE,,
Trachurus_indicus,TRUE,,
Trichiurus_nanhaiensis,TRUE,,
Umbrina_cirrosa,TRUE,,
Vimba_mirabilis,TRUE,,
