UniqueSite,Site_Lat,Site_Long,ReefCluster,Larger,Biomass_above20cm,Protection,DepthCategory,CleanHabitat,CensusMethod,Total_sampling_area,Regional_population_growth,Ocean_prod,Climate_stress,HDI,Larger_pop_size,Reef_fish_landings_per_km2,MPAage3,NTZarea,Geographic_Basin,Biomass...some.families,Local,Atoll,Gini_lastdata,EPI_2018,GDP,Control_corruption,Rule_of_law,Sedimentation,Annual_tourist_number,Locality,gravtot5001,gravtot5002,gravtot5003,Trait_diversity,Scraping_potential,MPAage
49,1.52384391,125.2756614,RC_54,Indonesia,201.3401495,Fished,4-10m,Slope,Standard belt transect,750,8.642843957,0.193,0.847338777,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,282.2751153,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.300043977,3788,Indonesia,16233.34886,101.2764742,1.20501752,2.55199004,53.74359742,0
56,-5.806747,110.37822,RC_4,Indonesia,72.41465433,Restricted,0-4m,Slope,Standard belt transect,1000,5.009760523,0.325,0.827057572,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,181.2658167,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.403501052,3788,Indonesia,190384.336,299.115393,0.516598894,3.058503669,218.1784405,0
57,-5.806747,110.37822,RC_4,Indonesia,39.11505459,Restricted,4-10m,Slope,Standard belt transect,1000,5.009760523,0.325,0.827057572,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,61.44623942,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.403501052,3788,Indonesia,190384.336,299.115393,0.516598894,2.295156205,34.7363234,0
66,-5.803104,110.380983,RC_4,Indonesia,53.02756599,Restricted,0-4m,Slope,Standard belt transect,1000,5.009760523,0.325,0.827057572,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,137.3785654,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.403501052,3788,Indonesia,190384.336,299.115393,0.516598894,1.776655698,274.4540904,0
67,-5.803104,110.380983,RC_4,Indonesia,64.6731971,Restricted,4-10m,Slope,Standard belt transect,1000,5.009760523,0.325,0.827057572,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,90.58085176,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.403501052,3788,Indonesia,190384.336,299.115393,0.516598894,2.164019667,60.10662304,0
94,-5.80419,110.55876,RC_5,Indonesia,0,Fished,0-4m,Flat,Standard belt transect,1000,5.009741284,0.323,0.825499244,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,84.36184911,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.411273973,3788,Indonesia,195316.0275,320.5890997,0.581824355,1.678275192,277.6043911,0
95,-5.80419,110.55876,RC_5,Indonesia,69.87195155,Fished,4-10m,Flat,Standard belt transect,1000,5.009741284,0.323,0.825499244,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,100.9771941,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.411273973,3788,Indonesia,195316.0275,320.5890997,0.581824355,2.137054494,102.7355303,0
98,-1.247966667,129.6813333,RC_6,Indonesia,162.576531,Restricted,4-10m,Slope,Standard belt transect,750,24.37788161,0.358,0.850007515,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,342.3409854,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.496337112,3788,Indonesia,3438.550496,3.99639194,0.016808348,2.129702122,302.4830901,0
100,1.45534381,125.2236698,RC_7,Indonesia,334.5493982,Fished,4-10m,Slope,Standard belt transect,750,8.642648098,0.194,0.848466905,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,433.8259363,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.29648877,3788,Indonesia,21151.36758,334.2679885,67.62475261,2.737310852,103.2536976,0
101,1.52205,118.79037,RC_8,Indonesia,156.0645587,Restricted,0-4m,Crest,Standard belt transect,750,21.21073675,0.319,0.782103323,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,246.7965444,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.480066608,3788,NA,8488.466389,8.58799709,0.010034396,3.162892606,188.7448603,0
